 LOCATOR_GENERAL OUTPUT: 
    User: sscweb
    Date: Thu  4-Dec-2025 (338) 03:56:29
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            mms4           60         1

           Start Time           Stop Time 
           2018  33  0.00000    2018  33 23.99972


 Coord/            Min/Max      Range Filter          Filter
Component   Output Markers    Minimum     Maximum    Mins/Maxes
GSE X        YES      -         -           -             -   
GSE Y        YES      -         -           -             -   
GSE Z        YES      -         -           -             -   
GSE LT       YES      -         -           -             -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YYYY DDD HH:MM:SS
    Degrees/Hemisphere format: Decimal degrees with 2 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Earth radii with 2 place(s).
2018  33 03:17:30      19.55     -10.05       6.06 10:11:12
2018  33 03:18:30      19.56     -10.05       6.06 10:11:15
2018  33 03:19:30      19.57     -10.04       6.07 10:11:18
2018  33 03:20:30      19.57     -10.04       6.07 10:11:21
2018  33 03:21:30      19.58     -10.04       6.07 10:11:24
2018  33 03:22:30      19.59     -10.04       6.07 10:11:26
2018  33 03:23:30      19.60     -10.04       6.08 10:11:29
2018  33 03:24:30      19.60     -10.04       6.08 10:11:32
2018  33 03:25:30      19.61     -10.04       6.08 10:11:35
2018  33 03:26:30      19.62     -10.04       6.08 10:11:38
2018  33 03:27:30      19.63     -10.03       6.09 10:11:41
2018  33 03:28:30      19.63     -10.03       6.09 10:11:44
2018  33 03:29:30      19.64     -10.03       6.09 10:11:46
2018  33 03:30:30      19.65     -10.03       6.09 10:11:49
2018  33 03:31:30      19.65     -10.03       6.10 10:11:52
2018  33 03:32:30      19.66     -10.03       6.10 10:11:55
2018  33 03:33:30      19.67     -10.03       6.10 10:11:58
2018  33 03:34:30      19.68     -10.02       6.10 10:12:01
2018  33 03:35:30      19.68     -10.02       6.11 10:12:03
2018  33 03:36:30      19.69     -10.02       6.11 10:12:06
2018  33 03:37:30      19.70     -10.02       6.11 10:12:09
2018  33 03:38:30      19.71     -10.02       6.11 10:12:12
